,id,title,review,score,sentiment
0,17998769,반지의 제왕: 왕의 귀환,판타지를 넘어 영화 역사에 남을 명작이다 내가 이걸 왜 극장에서 못봤을까 폰으로 봤을때의 감동과는 비교가 안될텐데,10.0,1
1,17998767,나일 강의 죽음,이집트여행하는느낌의 영화,8.0,1
2,17998766,킹메이커,목포 연설 장면은 넋을 잃고 보게 된다,10.0,1
3,17998765,기억의 밤,그저 그렇네요 뻔한 반전과 결말,4.0,0
4,17998764,더 배트맨,더 배트맨 조커처럼 몰입감이 있으면 추천 반대로 지루하면 비추천,1.0,0
5,17998763,인간중독,전 올레로 몇년전에 재밌게 봤다가 방금 소장용으로 재구입하여 또 봤어요 전 재밌게 봤는데요부인인 조여정은 송승헌의 섹슈얼한 이상형은 아니었던 것 같아요 극중 조여정과 임지연은 성격이나 분위기가 확 다르죠 그리고 봐보면 극중 임지연은 겉으론 조용하고 청순해보여도 은밀하게는 과감하게 그러나 조용히 끼를 부립니다 속된 말로 호박씨까는스타일이죠ㅋ 그런 스타일에 꽂혔을 수 있고 이상형인듯 거의 뭐 첫눈에 반한 거에 준해서 빠져들어간 것 같네요 송승헌이 임지연한테 저는 꼭 이 이상의 대단한 사랑의 동기가 있어야만 납득가능하다고 보진 않네요 왜 저렇게까지 극중 임지연을 사랑하는가가 포인트인 게 아니라 그냥 송승헌은 이미 임지연이 좋은거고 많이 좋아하다보니 저렇게까지 다 걸어버리는 송승헌 자체의 캐릭터를 저는 감상한거죠 그리고 이런 러브스토리를 기반으로 했기에 정사씬이 참 야하군여 크하하,10.0,1
6,17998761,은밀하게 위대하게,평범한 나라 평범한 가정 평범한 아이로 태어남에 감사합니다,10.0,1
7,17998760,인비저블 게스트,반전을 거듭하는건 좋은데 마지막반전은 좀 영화도 아니고 에바였지 않나,7.0,0
8,17998759,싸이보그지만 괜찮아,ㅠㅠ 영화관에서 잠든 유일한 영화,2.0,0
9,17998758,폭격,생각보다 흡입력 있고 지루하지 않고 볼만하다,8.0,1
10,17998757,특별시민,아수라냐 이것도 이재명 주연이다음주운전에 주변사람 살인으로 위장하고 뭐 대단하다 이배우,10.0,1
11,17998756,폭격,이런 비극이 없도록 전쟁은 일어나면 안되는데 현재 고통받는 우크라이나가 생각나에요,10.0,1
12,17998755,킬러스,주연들은 매력적이다 이런 영화 특징답게 스토리나 개연성은 크게 보지 마시고 단순히 재미로 킬링타임하고 싶으시다면 보시는 거 추천,7.0,0
13,17998754,비열한 거리,조인성 연기 커리어의 정점이다 다리도 길어서 액션씬이 더 세련되 보인다 초반분위기는 느와르 영화치곤 좀 가벼워보일수 있으나 중간중간 민호의 내면이 보이면서 분위기도 점점 고조되고 마지막까지 눈을 뗄수 없었다,9.0,1
14,17998753,장고:분노의 추적자,타란티노 스타일의 정통 쾌남무미,10.0,1
15,17998752,돼지의 왕,집단안에 계급사회가 형성된다 따돌림을 경험 해 보았다면 공감 되는 감정이들이 많을 듯 스토리는 탄탄하다  작가가 경험한거 마냥  잘 씀,6.0,0
16,17998751,레지던트 이블: 라쿤시티,나의 질 발렌타인을 돌려줘 ㅠㅠ,1.0,0
17,17998746,밤쉘: 세상을 바꾼 폭탄선언,ㅅㅅ에 미친 고추들은 찔리고 낯뜨거울 영화 일부 고추들은 이 영화가 끔찍이 싫을듯 영화 추천해준 사랑스런 내 남자친구 고마워요,10.0,1
18,17998744,워크래프트: 전쟁의 서막,너무 빨리나왔어서 망한 영화년만 늦게나왔어도 흥행했을텐데 ㅜ,10.0,1
19,17998743,핵소 고지,개띵작데스몬드 도스 전장에서 가장 약할 줄 알았던 그가 가장 강한 사나이였음,10.0,1
20,17998742,세상끝의 사랑,지금 까지의 작품을 보니이런 망작이 나올법함 자극의 연속으로 할 수 있는건 없음 유치함 이런 문장들처럼 유치해요 죄송합니다  다시 수정하러 왔는데ㅋㅋ이거 뭐지 흠그냥 버리는게 있고 재활용이 되는게 있습니다 혼자만의 상상과 자위는 알려주지 마세요,1.0,0
21,17998741,티탄,강렬한 몰입감과 파격적이고 신선한 소재 오랜만에 대작을 관람했다,10.0,1
22,17998740,디지몬 어드벤처 라스트 에볼루션 : 인연,안녕 디지몬 네 꿈을 꾸면서 잠이 들래  안녕 디지몬 친구들 모두 안녕  안녕 디지몬 너와 함께하고 싶어  안녕 디지몬 난 너를 찾아갈래 ,10.0,1
23,17998739,더 배트맨,탐정물이라 더 좋았음 매력굿,9.0,1
24,17998738,문폴,그래도 재난영화 명맥을 잇는중ㅣ,7.0,0
25,17998736,더 배트맨,이제 곧 끝나겠지 했는데 시간이 더 남아있었다,4.0,0
26,17998735,아담스 패밀리 2,아담스 패밀리 너무 좋아,10.0,1
27,17998733,박하사탕,어떤 선택을 하든 후회가 따른다다시 돌아간들 삶이 아름다울수만은없다내삶을 되돌아보는 영화였다명작,10.0,1
28,17998732,스펜서,샤넬에서 의상 협찬 작정하고 해줬네ㅋㅋ,8.0,1
29,17998731,글래스,완결편이라길래 기대하면서 봤는데 너무 재미없고 지루해서 끝까지 보기가 힘들었다 결말만 궁금해서 배속으로 봤는데도 시간낭비 한것 같다 결말도 그닥 편 안봤으면 안봤을것 같은 쓰레기 영화 샤말란이 거의 년동안 묵은 똥을 거하게 쌌네ㅉㅉ,2.0,0
30,17998730,드라이브 마이 카,시간이 절대로 길지않게 느껴지는 잔잔함속에 파도가 이는 영화,7.0,0
31,17998729,더 배트맨,이전 배트맨 시리즈와 다른 느낌,5.0,0
33,17998727,맥베스의 비극,뛰어난 연기력이 가미된 흑백연극 한편,6.0,0
34,17998726,원더,옮음과 친절함중 하나를 고르라면 친절함을 고르겠노라몰입도 높고 감동적이며 나를 돌아보게 되는 영화였음,10.0,1
35,17998725,러브 어페어,오래전 이영화를 봤었는데 지금 다시 보니 더 좋은거 같다 행복이 무엇인지 다시 한번 생각하게 해주는거 같다  다시 보고 다시봐도 너무 좋다,10.0,1
36,17998724,클로버필드 패러독스,여윽시 클로버필드는 너무 잘 만든 영화다 시리즈 편다 완성도 있고 재밋어 너무너무 또 나왓음 좋겟다 시리즈 ㅠㅠ,10.0,1
37,17998723,백악관 최후의 날,용산으로 청와대 옮기면 우리가 저런꼴 날지도 모른다,10.0,1
38,17998722,넘버 3,이때 보았던 무명의 송강호의 연기를 지금도 잊을수가 없다,7.0,0
39,17998721,창,또보고시픈데 어디서 보나요,10.0,1
40,17998719,355,남사친이 죽을 걸 영화시작 분대 이전에 알아차렸으면   이상 분이 지나 눈치 챘으면   이하,8.0,1
41,17998718,더 배트맨,정치와 사회를 엮은 치밀한 시나리오와 히어로물에 현실감을 중간에 살짝 섞는것은 좋았으나 감동은 잘 모르겠다 사실상 배트맨이 워낙 오래된 소재라 원작만화의 느낌을 살리는 것은 이게 최선인 거 같긴 하지만 뭔가 아쉬웠다인상 깊었던 점은 팔코네라는 캐릭터가 매력적이었다는 점펭귄 추격전 남성미 넘치는 마지막씬은 살짝 올드하다고 느낄 수 있지만 올드한 씬에서 나오는 간지를 잘 보여줬다넘 기대를 많이 해서 그런가 나이 먹어서 히어로물이 아예 안 와닿는건가놀란의 배트맨을 개인적으로 별로 좋아하지 않아서 기대를 하고 갔는데인물간의 인간적인 갈등을 보여주는 데는 성공했지만 해결을 제시하지 않을거면 더 브루탈하고 더 현실감을 섞어서 아예 새로운 느낌을 제시했으면 하는 아쉬움이 남는다그러면 대중적으로는 외면받았을수도 있지만수작은 그래도 수작이다 아 조명 없이 총쏠때만 반짝반짝하는 씬도 연출이 좋았다,7.0,0
42,17998716,스파이더맨: 노 웨이 홈,이야기가 감동적인 액션,8.0,1
43,17998715,맨 인 더 다크 2 ,감독과 연출의 힘 같은 등장인물이나 다른 구성에 이질감이 없다,10.0,1
