,word,label
0,"[0 0 0 0 0 0 0 0 0 640 23 226 21 8 585 12 139 13 220 1 7 102 10 116 17 103
 333 47 133 6 16 258 3102 32 6 16 13 98 9 74 45 4 755 10 57 27 17 328 1 99]",1
1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 3103 1088 2 4 96 9 8]",1
2,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 2262 129 11 13 884 5 6 18 27 60]",1
3,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 498 143 62 164 2 3 286 45 210]",0
4,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 70
 72 829 246 444 1 22 122 209 2000 30 108 2 56 1807]",0
5,"[1 61 77 93 2001 11 702 2608 1 26 11 67 5 145 147 7 6 84 830 18 80 7 463
 21 224 4 2001 270 9 219 23 144 4 445 2 3 67 345 140 105 1811 23 1671 32 2
 29 969 1 203 44]",1
6,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 499 2 3 395
 499 2 3 1412 499 2 3 289 30 1543 43 12 409 2 52]",1
7,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 286 13 2
 4 365 26 227 11 100 8 14 61 5 1 15 20 50 24]",0
8,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 94 94 318 47 1544 3 1268 2 3 8]",0
9,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 53
 91 2263 22 5 108 2 20 50 5 6 17 28 2 7]",1
10,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 116 14 429
 626 1 7 12 970 81 1050 32 2 5 89 346 2 7 1 66]",1
11,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 105 1812 1 33
 1009 373 11 657 56 57 27 34 1269 886 184 4 1413 10 53 24 12 95]",1
12,"[0 0 0 0 0 0 0 0 0 0 626 19 11 228 31 1 7 105 8 2264 334 18 58 24 252 110
 11 146 18 6 20 69 55 5 1672 135 30 524 1149 410 2 5 75 658 214 6 55 4 67
 209]",0
13,"[14 173 68 728 1 70 347 27 127 60 348 213 4 586 64 514 8 271 971 100 357
 21 127 17 48 22 281 200 200 9 887 1 127 111 213 14 756 2007 27 5 149 80
 274 13 972 17 48 33 15 7]",1
14,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 2265 885 9]",1
15,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 454 10 27 60 43 13 804 2 44 6 16 214
 366 27 4 19 1 115 13 73 58 4 703 2 7 863 10 804 2 3 67 1210 54]",0
16,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 24 9 704 13 1270 21 49 21 94 94]",0
17,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1673 1673 12 319 3 19 11 5 17 8 2266 19
 11 1 8 10 681 13 73 8 209 2 44 49 3 123 153 3 24 9 403 384 1089 39]",1
18,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 35 888 71 16 68
 1150 3 28 1090 18 71 16 130 973 2 29 13 328 1 99 485]",1
19,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3108 47
 215 831 17 185 101 16 65 51 10 215 1414 3 2610 1 15 36]",1
20,"[105 19 246 570 271 2 464 3109 2 52 141 2 241 92 16 34 148 1 67 89 1 20
 224 4 25 1 22 5 302 1813 1 27 4 25 1 22 42 542 28 9 486 45 4 805 21 49 20
 69 55 39]",0
21,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1092 2 3 444 45
 2611 31 1 5 299 2 3 272 238 12 1546 13 515 2 29 7]",1
