,word,label
0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 611 173 3 653 77
 182 6 71 297 146 4 9 236 3141 4 9 67 265 40 14 7 315 59]",1
1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 3142 1174 56 3]",1
2,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 2183 82 904 2 4 10 14 35]",1
3,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 125 27 332 1 274 168]",0
4,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 43
 36 688 222 101 219 11 90 162 546 667 68 38 933 1175]",0
5,"[27 826 10 191 12 1412 2185 267 91 2000 440 1 46 61 525 2440 788 2185 267
 13 42 2 110 99 6 4 45 826 10 191 12 6 1415 174 525 2440 213 171 1131 385
 1 316 1034 30 1496 5 317 193 1722 905]",1
6,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 547 1 283 547 1 1497 547 1 1416 19 367 24]",1
7,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 274 13 214 104 274 3 8 2 393 5 12 31]",0
8,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 148 329 1351 1 2001 3]",0
9,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 34 52 2002 11 2 68 12 31 2 4 7 169 6]",1
10,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 2188 175 8 1723 515 3145 994 53 1035 2 141 353 6 33]",1
11,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2003
 20 1176 347 789 38 196 18 1132 774 166 295 95 46 34 84]",1
12,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 515 588 6 3 2739 270 10 30
 252 95 10 4 12 1036 2 1848 88 136 7 199 123 2 48 589 216 342 42 162]",0
13,"[0 0 0 2443 311 16 1849 6 1605 8 597 23 57 193 15 229 165 35 343 187 689
 364 3 240 757 386 165 7 29 11 255 155 155 827 165 81 187 8 758 2444 14 2
 104 210 828 7 29 20 5 6]",1
