,word,label
0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 582 168 3 495
 102 162 4 61 338 298 109 22 244 2758 22 48 1 670 28 253 534]",1
1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 3178 998 1 60 3]",1
2,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 2180 86 5 868 2 9 8 266]",1
3,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 280 26 318 238 155]",0
4,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 42
 247 149 626 202 287 463 10 107 151 539 525 74 38 347 151]",0
5,"[9 273 32 26 1789 8 413 79 2438 81 660 400 36 8 65 64 2437 5 753 2438 11 5
 39 2 112 11 4 9 75 1789 8 4 145 496 1 2437 195 156 1 388 7 39 272 957 33
 1457 23 34 179 348]",1
6,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 479 7 196 479 7 1386 479 7 323 78]",1
7,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 238
 1 124 11 204 111 238 5 3 6 2 2183 53 12 32]",0
8,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 157 274 2759 1247 7 3]",0
9,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 37 59 1981 10 2 74 12 32 2 43 1982]",1
10,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 2184 173 6 1672 441 4 920 56 1187 2 117 311 4 35]",1
11,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1790 18
 958 304 5 1089 38 28 31 21 1090 735 140 1 2760 433 470]",1
12,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 441 5 178 17 4 3 2441 377 8 33 225 96
 5 348 8 9 12 1091 2 1791 91 213 126 2 52 1387 188 9 110 1 39 151]",0
13,"[0 0 0 0 0 0 0 0 1983 14 1792 4 1673 6 98 103 62 179 42 2442 31 1248 277
 169 1 513 3 2761 1793 29 10 324 185 185 869 305 76 169 6 736 2185 31 2
 111 197 1316 29 18 13 4]",1
14,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 1794 557 449]",1
15,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 28 414 266 754 47 9 16
 188 312 31 1 214 77 50 33 1 627 4 715 754 7 39 1092 30 3180]",0
16,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 507 3815 157]",0
17,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 755 755 999 5 2
 2762 3 2186 5 3 497 50 3 151 47 328 81 1674 61 306 292 3181]",1
18,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15
 756 339 103 2443 3 20 1317 8 339 450 809 23 534 593]",1
19,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 135 1000 245 3816 182 94 72 16 40 182 1675 3182 53 19]",1
20,"[75 498 245 364 784 45 480 1458 46 29 10 1 124 18 19 271 45 3183 202 271
 2444 78 92 307 451 21 69 239 117 12 1459 64 496 1 8 10 2 248 1568 31 1 8
 10 20 434 1 1035 44 12 569]",0
21,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 1001 7 287 463 3184 17 2 256 7 228 180 1188 423 23 4]",1
22,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1795 3185
 810 2763 76 811 1984 1795 3185 292 1795 1795 3185 2 52 1795 3185 229 325]",1
23,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 2445 65 42 11 16 19 178 319]",1
24,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 176 3 1138 1 79 2764]",0
25,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 250 570 57 12 23 21 42 102 10 13 4]",0
26,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 15 11]",1
27,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 401 402 594
 92 251 3817 29 20 5 18 4 61 251 3186 1 3 53 4 162]",1
28,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 1388 1796 2 47 514 69]",1
29,"[0 0 0 3818 58 76 22 21 15 159 2 74 68 99 9 34 340 13 4 155 20 671 68 2187
 22 21 6 812 7 25 4 155 6 1139 120 28 22 107 28 22 25 5 371 3 3819 3820 5
 1036 8 1569]",0
30,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 1570 98 12 32 8 349 12 1 235 45 183 2188 1 3]",0
31,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 813 51 203 60]",0
32,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 842 189 1985 108 3821 2189 896]",0
33,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 1189 45 79 2765
 268 1189 45 2765 57 142 6 288 2 48 17 93 2766 8 31 1 3 53 19]",1
34,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 526 127 3 1318 21 146 92 9 75 42 11 5 39 25 4
 406 217 92 7 73 37 8 47 44 1 39 25 4 92 9 2 92 150 15 11 4]",1
35,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2446 110 1 15 30
 193 3 4 203 897 6 10 2 248 389 716 3822 19 11 1190 4 203 157]",1
36,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 38 638 1037 6 2190]",1
37,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 9 16 40 3823 14 146 6 558 29 18 4]",0
38,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 9 2 110 1571 170 82 9 757]",1
39,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 102 226 145 3 227 813 107 106 921 2447 107 1191]",1
40,"[1194 3825 12 32 39 38 42 1094 2 42 125 230 1192 103 1676 481 60 3825 23
 107 1 453 102 355 560 38 1319 17 1 3188 140 16 29 6 10 442 5 442 4 1677
 122 629 20 1 179 6 55 11 16 4]",0
41,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 105 48 17 36 62]",1
42,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 66 55 425 25 5 922 144 508 3826 18 4]",1
43,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 3827 3828 3829 3189]",0
44,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 1038 107 191 509 38 3 109 20 1460]",0
45,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 300
 111 102 44 9 2 139 28 3830 78 6 3 217 139 28 26]",0
46,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 3190 1 2448 65 37 5 77 5 423 1250]",0
